2961_13488_000000	subito ouço bater á porta da sala vou abrir era um anjinho de cinco annos entra sára disse sabina
2961_13488_000001	sobrevieram incidentes emfim com o tempo o presidente resignatario foi para a opposição capitulo lxxxv o cimo da montanha
2961_13488_000002	marcella sabina virgilia ahi estou eu a fundir todos os contrastes como se esses nomes e pessoas não fossem mais do que modos de ser da minha affeição interior
2961_13488_000003	a nova doutrina que professamos ha de inevitavelmente derribar o actual ministerio confesso que nas circumstancias politicas da occasião o programma pareceu-me uma
2961_13488_000004	guardei a carta e o relogio e esperei a philosophia capitulo xcii um homem extraordinario já agora acabo com as cousas extraordinarias vinha de guardar a carta e o relogio quando me procurou um homem magro e meão com um bilhete do cotrim convidando me para jantar
2961_13488_000005	resolvi dar lho tres moedas de ouro das cinco que trazia commigo não porque tal fosse o preço da minha vida essa era inestimavel mas por que era uma recompensa digna da dedicação com que elle me salvou
2961_13488_000006	accrescentando que nada dizia dos litterarios por não entender delles mas os politicos eram excellentes bem pensados e bem escriptos respondi-lhe com eguaes esmeros de cortezia e separámos nos contentes um do outro
2961_13488_000007	entretanto sabina fôra até á janella que dava para a chacara e depois de um instante voltou e propoz ceder o paulo e outro preto com a condição de ficar com a prata eu ia dizer que não me convinha mas o cotrim adiantou-se e disse a mesma cousa isso nunca não faço esmolas disse elle
2961_13488_000008	fiquei um pouco desconsolado com a idéa mas uma voz mysteriosa chamava-me á casa do lobo neves disse adeus a sabina e ás suas ameaças capitulo xciv a causa secreta
2961_13488_000009	e não porque seja o das minhas memorias faria a mesma cousa com o almanak de laemmert uma vez que fosse unico o peor é o desproposito lá continúa o homem inclinado sobre a pagina com uma lente no olho direito todo entregue á nobre e aspera funcção de decifrar o
2961_13488_000010	para que tomasse um dos maridos de emprestimo e de occasião que lh'a pediam e bradava queres ser melhor do eu não sei donde te vem essas fiducias de pessoa rica minha camarada a vida não se arranja á toa não se come vento ora esta moços tão bons como o polycarpo da venda coitado esperas algum fidalgo não é
2961_13488_000011	fóra o sol um grande sol que o quincas borba não sei se por chalaça ou poesia chamou um dos ministros da natureza corria um vento fresco o ceu estava nitidamente azul
2961_13488_000012	você sabe que as casas aqui ha annos baixaram muito olhe se esta vale os cincoenta contos quantos não vale a que você deseja para si a do campo não fale nisso uma casa velha
2961_13488_000013	não passava de um pobretão que talvez não tivesse para dormir a cuba de diogenes mas a posse imaginaria dos navios valia por todas as drachmas da
2961_13488_000014	tudo prompto para embarcar espirito e coração e eis ahi me surge esse porteiro das conveniencias que me pede o cartão de ingresso dei ao diabo as conveniências e com ellas a constituição o corpo legislativo
2961_13488_000015	esta ultima palavra foi para mim um golpe eu amava minha mãe tinha ainda deante dos olhos as circumstancias da ultima benção que ella me dera a bordo do navio meu triste filho nunca mais te verei soluçava a pobre senhora apertando-me ao peito
2961_13488_000016	não é impossivel que eu desenvolva este pensamento antes de acabar o livro mas tambem não é impossivel que o deixe como está de um ou de outro modo é uma bôa solda a opinião e tanto na ordem domestica como na politica
2961_13488_000017	já sei desta vez vae ler cicero disse-me elle ao saber da viagem cicero exclamou sabina pois então seu mano é um grande latinista traduz virgilio de relance olhe que é virgilio e não virgilia não confunda
2961_13488_000018	tinhamos falado na prata a velha prataria do tempo de d josé i a porção mais grave da herança já pelo lavor já pela vetustez já pela origem da propriedade
2961_13488_000019	o olhar da opinião esse olhar agudo e judicial perde a virtude logo que pisamos o territorio da morte não digo que elle se não estenda para cá e nos não examine e julgue mas a nós é que não se nos dá do exame nem do julgamento
2961_13488_000020	mas d placida não aceitava nunca você parece que não gosta mais de mim disse-lhe um dia virgilia virgem nossa senhora exclamou a boa dama alçando as mãos para o tecto não gosto de yayá mas então de quem é que eu gostaria neste mundo e pegando-lhe nas mãos olhou-a fixamente
