4367_3648_000000	os outros então são muitos mais de um é com certeza já vi dois um rapaz alto louro rosado elegante
4367_3648_000001	o norberto deitou a correr atrás do bonde mas só conseguiu esfalfar se que pernas humanas haverá tão rápidas como a eletricidade esse novo encontro acendeu mais viva chama no peito do norberto
4367_3648_000002	marido é o velhote que está quase escondido por trás do enorme corpanzil da tua ex namorada o flores estupefato contemplou e analisou longamente aquela mulher que fora o seu primeiro amor e a sua primeira mágoa
4367_3648_000003	por fim vendo que a questão se eternizava e de um momento para o outro a sua duplicidade podia ser descoberta o romualdo foi gradualmente adoçando o tom dos artigos
4367_3648_000004	os quatro que atribuíram esse pranto ao vinho e até certo ponto não se enganavam correram para ele então que é isso gaspar que é isso
4367_3648_000005	este bilhete inquietou o ex jornalista com certeza pensou ele o saraiva soube que fui eu o autor do artigo naturalmente alguém me viu entrar em casa do caldas demorar-me no escritório
4367_3648_000006	não tiveram conta os passeios que ele deu do largo do machado às águas férreas na esperança de ver a sua amada e falar-lhe oito dias depois o norberto percorria de bonde pela centésima vez as laranjeiras
4367_3648_000007	o marido apesar de ter a resistência de um touro foi para a cama atacado por umas cólicas terríveis que o faziam ver estrelas a mulher coitada estava sem saber o que fizesse
4367_3648_000008	quem fala é o amanuense chagas ah bom sou eu a tua clorinda quem foi o sujeito que falou antes de ti é um malcriado então não respondes
4367_3648_000009	está na cadeia respondeu-lhe o sogro calculo o que estava reservado para minha filha se não fosse a sua generosidade quando nos casamos já ela não gostava dele pelo empenho interesseiro em que o viu de que ela se casasse com um cadáver que valia cem contos
4367_3648_000010	o major erigido sacrificou se em pura perda gilberta voltou de lambari mais apaixonada que nunca um belo dia teobaldo nogueira apresentou-se ao pai e pediu-a em casamento depois de fazer uma exposição deslumbrante dos seus recursos
4367_3648_000011	felizmente era solteiro e o dono da pensão onde ele morava fornecia lhe casa e comida a crédito em atenção aos belos tempos em que nele tivera o mais pontual dos locatários
4367_3648_000012	não tardou a aparecer a circunstância fortuita que o diabo armou uma tarde em que o sr paulino voltava do emprego de guarda-livros de uma importante casa comercial
4367_3648_000013	depois que o sr me libertou daquela peste sou outro homem vivo mais satisfeito como com mais apetite tudo me sabe melhor e durmo que é um
4367_3648_000014	desesperado correu para os bondes que uns seis ou sete havia prontos a partir e subiu a todos os estribos procurando em vão com os olhos esbugalhados a formosa desconhecida
4367_3648_000015	era preciso pôr uma barreira entre ela e o teobaldo e que barreira melhor que o atlântico a viagem durou dois anos o viegas e gilberta trouxeram consigo uma filhinha nascida na itália
4367_3648_000016	não tendo mulher que o encabulasse arranjou muito bem a vida conseguindo até pôr de parte algum pecúlio passaram-se anos sem que roberto o ex paulino tivesse notícias de adelaide
4367_3648_000017	se não viesse à sua casa jamais saberia o que se passa na minha e continuaria a ser um marido ridículo sem o saber para alguma coisa me serviu essa aventura amorosa e o sr paulino saiu sem exigir da vizinha atônita outra coisa além de um copo d'água
4367_3648_000018	e o romualdo escreveu durante um mês teve ele a habilidade de alimentar a polêmica provocando a réplica para que não estancasse tão cedo a fonte de receita que encontrara
4367_3648_000019	este parecia interessado pelo espetáculo tinha os olhos pregados no palco sem desconfiar nem de leve que a sua cara metade namorava escandalosamente ás suas barbas um jovem espectador da platéia
4367_3648_000020	riu-se o famoso doutor quando lhe dissera o diagnóstico dos colegas tuberculose qual tuberculose o senhor é tão tuberculoso como eu aquele sangue era do estômago trate do seu estômago que este desvio é grave
4367_3648_000021	estava sem ganhar vintém vivendo sabe deus com que dificuldades a maldizer o instante em que levado por uma quimera da juventude se lembrara de abraçar uma carreira tão incerta e precária como a do jornalismo
4367_3648_000022	rompia a aurora quando conseguiu adormecer para sonhar com ela e no dia seguinte não se passou um minuto sem que pensasse naquele feliz encontro
4367_3648_000023	demais nota uma coisa não quero insultá-lo não quero dizer nada que o fira na sua honra quero tratá-lo com luva de pelica sou eu o primeiro a lastimar que uma questão de dinheiro destruísse a nossa velha amizade escreves o artigo
4367_3648_000024	informou-se na venda próxima que fim levara a viúva de um tal paulino morador naquela rua náufrago do rio apa ninguém se lembrava dessa família e ele tevei a sensação de que era realmente um defunto
4367_3648_000025	não vás amanhã o barroso faz anos e janta em casa não me lembrava mas dize ao menos que ainda me amas não posso agora por quê depois saberá
4367_3648_000026	reproduziu-se então a cena da véspera com mudança apenas de um personagem o saraiva depois de ler e reler o artigo exclamou bravo não podia sair melhor
4367_3648_000027	por por nada estou muito ocupado a ocasião e imprópria já não me amas sim como sim já não me amas não isto é não posso diga o que deseja
4367_3648_000028	essa imprudência teve mau resultado um dia bárbara mendes entrou em casa do amante acompanhada de duas malas uma trouxa e um baú
4367_3648_000029	adelaide não lhe perdoava o ser pobre o ganhar apenas o necessário para viver o seu desejo era ter um vestido por semana e um chapéu de quinze em quinze dias
4367_3648_000030	o paulino que era a bondade em pessoa afligia-se muito por não poder proporcionar à sua mulher a existência que ela ambicionava
4367_3648_000031	não creias que se melhorasses de posição ela melhoraria de gênio aquela é das tais que nunca estão contentes com a sorte nem se lembram de que deus dá o frio conforme a roupa
4367_3648_000032	e que o chagas a esperasse no campo de são cristóvão dentro de um carro fechado este os transportaria para um retiro longínquo e discreto
4367_3648_000033	ela não o viu o pobre-diabo fez sinal ao condutor para parar mas por fatalidade o poste da parada estava muito longe e o bonde não parou e não haver ali à mão um tílburi uma caleça um automóvel
4367_3648_000034	arregaçando a saia com muita elegância e apressando os passinhos miúdos lépida saltitante como se houvesse saído de casa para boa coisa nada avisava mas desde que a via o cocheiro voltava-se para o chagas e o agora
4367_3648_000035	nunca ninguém viu entrar ali mulheres o que não quer dizer que os cinco rapazes fossem santos o coutinho por exemplo gostava de uma linda espanhola da rua do riachuelo
4367_3648_000036	virgem nossa senhora e aquele homem de óculos azuis que está de pé no fundo do camarote é o marido qual marido é o genro casado com a filha aquela outra senhora muito magra que está ao lado dela
4367_3648_000037	estou às ordens de vossa excelência gaguejou o chagas não teve resposta dois minutos depois repetiu estou às ordens de vossa excelência s exa sem se dignar erguer os olhos perguntou em tom áspero
4367_3648_000038	apesar de casado com uma senhora ainda bonita e frescalhona mais nova dez anos que ele que orçava pelos quarenta e tantos o sr paulino resolveu chegar à fala com a sua encantadora vizinha que pelos modos era livre como os pássaros
4367_3648_000039	mas as hemoptises que hemoptises que nada hematêmeses isso sim pouco depois o viegas completamente restabelecido empreendeu uma grande viagem à europa com sua mulher
4367_3648_000040	aqui entre nós se o amigo quiser uma indenização em dinheiro uma espécie de luvas não faça cerimônia estou pronto a pagar não há nada mais justo
4367_3648_000041	ah se ele pudesse ver-nos lá do outro mundo murmurou entre os dentes vespasiano como se riria de mim roberto ficou muito sério olhando com indiferença para a rua mas paulino riu-se efetivamente no fundo do oceano
4367_3648_000042	o genro que se conservava sério e imperturbável lançava-lhe uns olhos repreensivos e inquietos através dos óculos azuis ela não dava por isso
4367_3648_000043	tirando da algibeira um maço de dinheiro escolheu uma nota de duzentos mil-réis e entregou-a ao prosador oh isto é muito saraiva qual muito estás a tocar leques por bandurra é justo que te pague bem
4367_3648_000044	o fulgêncio caiu das nuvens o marido continuou eu sei que o sr tem medo de mim que se péla receia que eu o mate ou que lhe bata tranqüilize-se não lhe farei o menor mal pelo contrário
4367_3648_000045	segundo ela dizia e o coutinho acreditava porque os rapazes acreditam em tudo quanto as mulheres dizem ora um dia fez anos o leandro o mais alegre e o mais novo dos cinco
4367_3648_000046	ainda não houve no rio de janeiro república de estudantes mais séria que a do coutinho na rua do resende na vizinhança diziam todos que os moradores daquela casa pareciam não estudantes mas altos funcionários e chefes de família
4367_3648_000047	pois que já havia em vão experimentado todas as mesinhas caseiras quando ali passou por acaso ao trote do seu jumento o dr marcolino que exercia a medicina ambulante numa zona de muitas léguas
4367_3648_000048	o que neste momento se te afigura uma desgraça irremediável mais tarde se converterá numa recordação risonha e aprazível se todos os moços da tua idade se matassem por causa disso e matassem também as suas ingratas há muito tempo que o mundo teria acabado
4367_3648_000049	trêmulo de impaciência e com o coração aos saltos esperava que ela entrasse também para voarem ambos ao miserável ninho das suas poucas vergonhas
4367_3648_000050	para que precisas tu de um revólver meu filho perguntou a mãe do rapaz entrando no quarto está com a senhora está mas como soube as mães adivinham
4367_3648_000051	da mulher de quem do paulino sim faça-se de novas aquela é pior do que eu mas de que paulino fala a senhora perguntou o pobre homem já trêmulo e agitado
4367_3648_000052	não paulino reconheceu a voz da sua viúva mas reflete bem adelaide aquele dinheiro está destinado para o aluguel da casa e tu não tens assim tanta necessidade de uma capa de seda
4367_3648_000053	o senhor ministro chama-o a mim sim senhor ora essa você não está enganado não senhor sua excelência me perguntou
4367_3648_000054	procurou ver vespasiano e viu-o quando saía da alfândega onde era empregado o seu movimento foi correr para o amigo e dizer-lhe olha sou eu não morri venha de lá um abraço mas conteve-se e deixou-o passar saboreando um cigarro
4367_3648_000055	meu irmão que não vejo há vinte anos é um patife um bandido que está dizem milionário e que sabendo o meu estado não me vem visitar minha irmã que reside em paris é uma mulher perdida uma desgraçada que sempre me envergonhou não se lembre agora disso
4367_3648_000056	era tímido o que aliás não o impediu de corresponder prontamente aos olhares libidinosos que certa noite por sinal que era domingo lhe atirou de um camarote no recreio dramático uma bonita mulher um pouco mais velha que ele acompanhada pelo marido muito mais velho que ambos
4367_3648_000057	major erigido recalcitrou que haviam de dizer seriam capazes de inventar até que ele abusara de um agonizante mas o viegas insistiu apresentando com extraordinária lucidez todos os argumentos imagináveis inclusive aquele de que a última vontade de um moribundo é sagrada
4367_3648_000058	entretanto o meu dever de pai e amigo é abrir-te os olhos para não dares um passo de que mais tarde te arrependas amargamente não me parece que este homem te convenha não tem posição social definida
4367_3648_000059	é porque moram ali defronte uns conhecidos meus quem o tal paulino conhece-o de nome apenas nunca o vi querem ver que também você gosta da mulher dele
4367_3648_000060	é um perigo observou ela mas por outro lado é bom porque posso falar-te quando estiveres na secretaria vocês têm lá telefone naturalmente
4367_3648_000061	o major brígido cheio de senso prático vendo com maus olhos essa inclinação desacertada da filha abriu-se com o seu melhor amigo o viegas
4367_3648_000062	não fui um dissipado guardei o que era meu e tenho alguma coisa que por minha morte irá para as mãos dessas duas criatura lembrei-me de fazer testamento mas um testamento poderia dar lugar a uma demanda
4367_3648_000063	e nova torrente de lágrimas lhe inundou a face ouve meu filho na tua idade feliz um amor cura se com outro
4367_3648_000064	flores não disse mais nada caiu nos braços da boa senhora e chorou copiosamente ela que conhecia os amores do filho deixou-o chorar a vontade depois enxugou lhe os olhos com os seus beijos sagrados e perguntou-lhe
4367_3648_000065	saía de casa às seis da manhã e só voltava à noitinha o que facilitou ao chagas os meios de escrever a clorinda que assim se chamava a bela
4367_3648_000066	raros são os que se casam com a sua primeira namorada o que te sucedeu não é a exceção é a regra o mal de muitos consolo
4367_3648_000067	o pai correspondeu com muita frieza a filha com muita afabilidade pareceu ao major que o momento não podia ser mais propício para uma explicação tratou de aproveitá lo
4367_3648_000068	do próprio paquete não havia o menor vestígio sabia-se que naufragara porque desaparecera paulino agradeceu a deus o ter escapado milagrosamente ao naufrágio
4367_3648_000069	tua mulher é insuportável eu no teu caso mandava a para o pasto oh vespasiano não digas isso digo sim senhor digo e redigo
4367_3648_000070	não sei disso seu doutor não entendo do relógio do sol nesse caso não sei como ah este ah com que o doutor interrompeu o que ia dizendo foi produzido pela presença de um galo que passava no terreiro majestosamente
4367_3648_000071	fazendo um exame de consciência o mísero acusava-se de haver sacrificado a pobre moça que bonita e espirituosa como deus a fizera teria facilmente encontrado um marido com recursos bastantes para satisfazer todos os seus caprichos de frou-frou sem dote
