2961_2564_000000	não era dino dela por isso mais na terra não esteve ao céu subiu que já se lhe devia com
2961_2564_000001	com essa pretensão está segura a causa que me guia nesta empresa tão estranha tão doce honrosa e alta jurando não seguir outra ventura votando só por vós rara firmeza ou ser no vosso amor achado em falta
2961_2564_000002	mas mostre a sua imperial potência a morte em apartar dum corpo a alma duas num corpo o amor ajunte e una porque assi leve triunfante a palma amor da morte apesar da ausência do tempo da razão e da fortuna
2961_2564_000003	que queres mais de mim que destruída me tens a glória toda que alcancei não cuides de forçar me que não sei tornar a entrar onde não há saída vês aqui alma vida e esperança despojos doces de meu bem passado enquanto quis aquela que eu adoro
2961_2564_000004	o fogo que na branda cera ardia vendo o rosto gentil que eu n'alma vejo se acendeu de outro fogo do desejo por alcançar a luz que vence o dia
2961_2564_000005	poderoso mal a que me entrego que no meio do justo desengano me possa inda cegar um moço cego
2961_2564_000006	jura amor que brandura de vontade causa o primeiro efeito o pensamento endoudece se cuida que é verdade olhai como amor gera num momento de lágrimas de honesta piedade lágrimas de imortal contentamento
2961_2564_000007	amor que o gesto humano n'alma escreve vivas faíscas me mostrou um dia donde um puro cristal se derretia por entre vivas rosas e alva neve
2961_2564_000008	como de dous ardores se encendia da grande impaciência fez despejo e remetendo com furor sobejo vos foi beijar na parte onde se via
2961_2564_000009	via ditosa aquela flama que se atreve apagar seus ardores e tormentos na vista de que o mundo tremer deve namoram se senhora os elementos de vós e queima o fogo aquela neve que queima corações e pensamentos
2961_2564_000010	a bonina e a flor asinha passa tudo por terra o inverno e estio deita só para meu amor é sempre maio mas ver-vos para mim senhora escassa e que essa ingratidão tudo me enjeita traz este meu amor sempre em desmaio
2961_2564_000011	de haver nele mudança estou seguro sem temer nenhum caso ou duro fado nem o supremo bem ou baixo estado nem o tempo presente nem futuro
2961_2564_000012	ó bens do mundo falsos e enganosos que mágoas para ouvir que tal figura jaza sem resplandor na terra dura com tal rosto e cabelos tão fermosos das outras que será pois poder teve a morte sobre cousa tanto bela que ela eclipsava a luz do claro dia mas o mundo
2961_2564_000013	que ardesse num só fogo não queria o céu porque tivesse exprimentado que nem mudar as causas ao cuidado mudança na ventura me faria
2961_2564_000014	este amor que vos tenho limpo e puro de pensamento vil nunca tocado em minha tenra idade começado tê-lo dentro nesta alma só procuro
2961_2564_000015	lenho mas conquanto não pode haver desgosto onde esperança falta lá me esconde amor um mal que mata e não se vê que dias há que n'alma me tem posto um não sei quê que nasce não sei onde vem não sei como e dói não sei porquê
2961_2564_000016	mas esta linda e pura semideia que como um acidente em seu sujeito assi co a alma minha se conforma está no pensamento como ideia o vivo e puro amor de que sou feito como a matéria simples busca a forma
2961_2564_000017	tenho olhai de que esperanças me mantenho vede que perigosas seguranças que não temo contrastes nem mudanças andando em bravo mar perdido o lenho
2961_2564_000018	a mão tenho metida no teu seio e não vejo meus danos às escuras e tu contudo tanto me asseguras que me digo que minto e que me enleio não somente consinto neste engano mas inda to agradeço e a mim me nego tudo o que vejo e sinto de meu dano
2961_2564_000019	chorai ninfas os fados poderosos daquela soberana fermosura onde foram parar na sepultura aqueles reais olhos graciosos
2961_2564_000020	e se algum pouco tempo andava isento foi como quem co peso descansou por tornar a cansar com mais alento louvado seja amor em meu tormento pois para passatempo seu tomou este meu tão cansado sofrimento
2961_2564_000021	a vista que em si mesma não se atreve por se certificar do que ali via foi convertida em fonte que fazia a dor ao sofrimento doce e leve
2961_2564_000022	duas contrárias que üa a outra mata a morte contra o amor ajunta e altera üa é razão contra a fortuna austera outra contra a razão fortuna ingrata
2961_2564_000023	a levo eu de ser vencido transforma se o amador na cousa amada por virtude do muito imaginar não tenho logo mais que desejar pois em mim tenho a parte desejada
2961_2564_000024	a morte que da vida o nó desata os nós que dá o amor cortar quisera na ausência que é contr ele espada fera e co tempo que tudo desbarata
2961_2564_000025	bem sei amor que é certo o que receio mas tu porque com isso mais te apuras de manhoso mo negas e mo juras no teu dourado arco e eu to creio
2961_2564_000026	amor co a esperança já perdida teu soberano templo visitei por sinal do naufrágio que passei em lugar dos vestidos pus a vida
2961_2564_000027	no tempo que de amor viver soía nem sempre andava ao remo ferrolhado antes agora livre agora atado em várias flamas variamente ardia
2961_2564_000028	se nela está minha alma transformada que mais deseja o corpo de alcançar em si sòmente pode descansar pois consigo tal alma está liada
2961_2564_000029	oferecendo tudo a vosso intento contente deste bem louva o momento ou hora em que se viu tão bem perdida mil vezes desejando a tal ferida outra vez renovar seu perdimento
2961_2564_000030	o mágico veneno que pôde transformar meu pensamento vencido está de amor meu pensamento o mais que pode vencida a vida sujeita a vos servir instituída
