2961_4572_000000	que me fale
2961_4572_000001	quem dera que sintas as dores de amores que louco senti quem dera que sintas não negues não mintas eu vi
2961_4572_000002	quem dera que sintas as dores de amores que louco senti quem dera que sintas não negues não mintas eu vi
2961_4572_000003	quem dera que sintas as dores de amores que louco senti quem dera que sintas não negues não mintas eu vi
2961_4572_000004	queixumes e os
2961_4572_000005	um dia o vendaval do desengano varre lhe as flores do jardim da vida e nu das vestes que lhe dera o berço treme de frio ao vento do infortúnio
2961_4572_000006	até que a morte lhe desmancha os sonhos pobre insensato quer achar por força pérola fina em lodaçal imundo menino louro que se cansa e mata atrás da borboleta que travessa nas moitas do mangal voa e se perde
2961_4572_000007	mas esse sorriso tão liso que tinhas nos lábios de rosa formosa tu davas mandavas a quem quem dera que sintas as dores de amores que louco senti
2961_4572_000008	eu triste vi tudo mas mudo não tive nas galas das salas nem falas nem cantos nem prantos nem voz
2961_4572_000009	na valsa tão falsa corrias fugias ardente contente tranqüila serena sem pena de mim quem dera que sintas as dores de amores que louco senti quem dera que sintas não negues não mintas eu vi
2961_4572_000010	o homem nasce cresce alegre e crente entra no mundo co sorrir nos lábios traz os perfumes que lhe dera o berço veste-se belo dilusões douradas canta suspira crê sente esperanças
2961_4572_000011	meu deus eras bela donzela valsando sorrindo fugindo qual silfo risonho que em sonho nos vem
2961_4572_000012	quem dera que sintas não negues não mintas eu vi calado sozinho mesquinho em zelos ardendo eu vi-te correndo tão falsa na valsa veloz
2961_4572_000013	quem a vida devo hei de casimiro de abreu ramente mundo é uma mentira a glória fumo a morte um beijo e esta vida um sonho pesado ou doce que sesvai na campa
2961_4572_000014	na valsa cansaste ficaste prostrada turbada pensavas cismavas e estavas tão pálida então qual pálida rosa mimosa no vale do vento cruento batida caída sem vida no chão
2961_4572_000015	depois louco sublime ele se engana tenta enganar-se pra curar as mágoas cria fantasmas na cabeça em fogo de novo atira o seu batel nas ondas trabalha luta e se afadiga embalde
2961_4572_000016	sem família sem pão sem lar sem ninho e rico só de fé era de tarde ao toque do mosteiro seu lábio a murmurar rezava baixo
2961_4572_000017	é que esse vento que na várzea ao longe do colmo o fumo caprichoso ondeia soprando um dia tornaria incêndio a chama viva que teu riso ateia
2961_4572_000018	e não tenho como o náufrago nas ondas nas trevas um fanal eu sofro e esta dor que me atormenta é um suplício atroz e pra contá-la falta à lira cordas e aos lábios meus a
2961_4572_000019	vampiro infame eu sorveria em beijos toda a inocência que teu lábio encerra e tu serias no lascivo abraço anjo enlodado nos país da terra
2961_4572_000020	meu nome é simples e pobre mas é sombrio e traz dores grinalda de murchas flores que o sol queima e não consome sinhá das folhas do livro é bom tirar o meu nome
2961_4572_000021	um outro mancebo alegre poeta e crente soltara um canto fervente de amor talvez de alegria e aqui nas folhas do livro deixara amor e poesia
2961_4572_000022	ai se eu te visse magdalena pura sobre o veludo reclinada a meio olhos cerrados na volúpia doce os braços frouxos palpitante o seio
2961_4572_000023	eu era a flor do escalavrado galho que a tempestade no passar quebrou tu foste a gota de bendito orvalho e a flor pendida a reviver tornou teu rosto puro restitui me a calma ergue me as crenças que já vejo em pé
2961_4572_000024	e o homem de metal vinha sorrindo contando ao companheiro os gordos lucros na usura de judeus o mendigo estendeu a mão mirrada e pediu-lhe na voz entrecortada uma esmola por deus
2961_4572_000025	e contudo meu deus eu sou bem moço devera só me rir e ter fé e ter crença nos amores na glória e no porvir eu
2961_4572_000026	eu vi o pobre velho esfarrapado cabeça branca sentado pensativo dum carvalho ao pé esmolava na pedra dum caminho
2961_4572_000027	instante depois o cipreste esguio mostra a cova ao viandante a vida é triste quem nega nem vale a pena dizê-lo deus a parte entre seus dedos qual um fio de cabelo
2961_4572_000028	é triste como um gemido é vago como um lamento queixume que solta o vento nas pedras duma ruma na hora em que o sol se apaga e quando o lírio sinclina
2961_4572_000029	pouso com dia nos gentis palmares à beira dágua nos vergéis do sul e a virgem foge e a visão se perde por outros climas noutro céu de luz e eu desperto do meu sonho verde acordo e choro carregando a cruz
2961_4572_000030	na minhalma alguma cousa vago desejos ânsias que explicar não sei talvez desejos dalgum lindo lago ânsias dum mundo com que já sonhei
2961_4572_000031	oh não me chames coração de gelo bem vês traí me no fatal segredo se de ti fujo é que te adoro e muito és bela eu moço tens amor eu medo
2961_4572_000032	ai se eu te visse em languidez sublime na face as rosas virginais do pejo trêmula a fala a protestar baixinho vermelha a boca soluçando um beijo
2961_4572_000033	um véu nos cobre de mortal tristeza e a alma em luto despida dos encantos amor nem sonhos tem
2961_4572_000034	vós o disseste e eu padeço tanto que novos transes preparar me queres tudo me roubam meus cruéis tiranos amor família felicidade tudo
2961_4572_000035	os olhos rasgados são cor das safiras serenos e puros azuis como o mar se falam sinceros se pregam mentiras não quero não posso não devo contar
2961_4572_000036	dalma sobram perfumes e o livro e e e e e u tenho uns amores quem é que os não tinha nos tempos antigos amar não faz mal as almas que sentem paixão como a minha que digam que falem em regra geral
2961_4572_000037	tenho a sátira pungente o riso amargo o canto que maldiz os outros os felizes deste mundo deleitam se em saraus eu solitário sofro e odeio os homens pra mim são todos maus
2961_4572_000038	a velhice tem gemidos a dor das visões passadas a mocidade queixumes só a infância tem risadas ri criança a vida é curta o sonho dura um instante
